                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6804,                 3.7959,                 2.2265,                0.60611,                0.33803,                0.36769,                0.14187,                 2.2294,                 2.4196,                 1.8372,                0.00012,                0.00012,                0.00012
                      2,                 2.2822,                 3.4646,                 1.9351,                0.41658,                0.40232,                0.36748,                0.14093,                  2.195,                 2.4281,                 1.8329,             0.00025828,             0.00025828,             0.00025828
                      3,                 2.2055,                 3.5881,                 2.1065,                0.00033,                0.01408,                0.00017,                  2e-05,                 2.4506,                 143.07,                 2.2087,             0.00039472,             0.00039472,             0.00039472
                      4,                 2.1302,                 3.6542,                 1.8836,                0.05143,                0.39437,                0.03378,                0.01244,                 2.2674,                    nan,                 2.3677,             0.00052931,             0.00052931,             0.00052931
                      5,                 2.1146,                 2.9376,                 1.8487,                0.00033,                0.01408,                0.00017,                  2e-05,                    nan,                    nan,                    nan,             0.00066205,             0.00066205,             0.00066205
                      6,                 2.1479,                 3.9288,                 1.8356,                0.02699,                0.56338,                0.02761,                0.00935,                    nan,                    nan,                    nan,             0.00079294,             0.00079294,             0.00079294
                      7,                  1.906,                 2.8179,                 1.7482,                0.02699,                0.56338,                0.02761,                0.00935,                    nan,                    nan,                    nan,             0.00092198,             0.00092198,             0.00092198
                      8,                 1.9059,                 2.4973,                 1.7506,                0.06413,                0.26761,                0.06642,                0.02528,                    nan,                    nan,                    nan,              0.0010492,              0.0010492,              0.0010492
                      9,                 2.3101,                 2.8229,                  2.158,                  0.004,                0.16901,                0.00287,                0.00101,                    nan,                    nan,                    nan,              0.0011745,              0.0011745,              0.0011745
                     10,                 2.8906,                 3.2722,                 2.6481,                  0.004,                0.16901,                0.00287,                0.00101,                    nan,                    nan,                    nan,               0.001298,               0.001298,               0.001298
                     11,                 2.4083,                 2.8195,                  2.104,                  0.004,                0.16901,                0.00287,                0.00101,                    nan,                    nan,                    nan,              0.0014197,              0.0014197,              0.0014197
                     12,                 2.3294,                 2.6548,                 1.9606,                  0.004,                0.16901,                0.00287,                0.00101,                    nan,                    nan,                    nan,              0.0015395,              0.0015395,              0.0015395
                     13,                 2.3631,                 2.7078,                 2.0504,                  0.004,                0.16901,                0.00287,                0.00101,                    nan,                    nan,                    nan,              0.0016574,              0.0016574,              0.0016574
                     14,                  2.246,                 2.8573,                 2.0866,                  0.004,                0.16901,                0.00287,                0.00101,                    nan,                    nan,                    nan,              0.0017735,              0.0017735,              0.0017735
                     15,                 2.1028,                 2.4534,                 1.9675,                0.00067,                0.02817,                0.00036,                  7e-05,                    nan,                    nan,                    nan,              0.0018152,              0.0018152,              0.0018152
                     16,                 2.2275,                 2.6075,                 2.0237,                0.00067,                0.02817,                0.00036,                  7e-05,                    nan,                    nan,                    nan,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.0781,                 2.4219,                 1.8896,                0.00033,                0.01408,                0.00019,                  2e-05,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     18,                 1.9999,                 2.1881,                 1.8015,                0.00033,                0.01408,                0.00019,                  2e-05,                    nan,                    nan,                    nan,              0.0017888,              0.0017888,              0.0017888
                     19,                  1.998,                 2.2081,                 1.7537,                0.00033,                0.01408,                0.00019,                  2e-05,                    nan,                    nan,                    nan,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.3477,                 2.4074,                 2.0271,                0.00233,                0.09859,                0.00138,                0.00059,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.4443,                 2.5637,                 2.1222,                0.00233,                0.09859,                0.00138,                0.00059,                    nan,                    nan,                    nan,              0.0017492,              0.0017492,              0.0017492
                     22,                 2.3518,                 2.7419,                 2.3311,                0.00233,                0.09859,                0.00138,                0.00059,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
