                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.392,                 3.0002,                  1.284,                0.44751,                    0.7,                0.58635,                0.39716,                 1.0313,                 5.9004,                  1.226,                0.00034,                0.00034,                0.00034
                      2,                 1.2693,                 1.9799,                 1.2874,                  0.594,                0.65882,                0.60336,                0.40555,                 1.0227,                 4.2545,                 1.2228,             0.00069538,             0.00069538,             0.00069538
                      3,                 1.6151,                 7.2108,                 1.3297,                  0.594,                0.65882,                0.60336,                0.40555,                 1.5612,                    inf,                 1.3883,               0.001046,               0.001046,               0.001046
                      4,                 1.6103,                 7.9511,                 1.2929,                  0.594,                0.65882,                0.60336,                0.40555,                 1.5612,                    inf,                 1.3883,              0.0013919,              0.0013919,              0.0013919
                      5,                 1.7094,                 13.265,                 1.3264,                0.06499,                0.78824,                0.07298,                 0.0389,                 1.7156,                 57.341,                 1.2752,               0.001733,               0.001733,               0.001733
                      6,                 1.8308,                 15.972,                 1.3531,                0.06499,                0.78824,                0.07298,                 0.0389,                 1.7156,                 57.341,                 1.2752,               0.001934,               0.001934,               0.001934
                      7,                 1.6568,                 4.9776,                 1.3569,                0.00867,                0.15294,                0.00551,                0.00428,                 1.5499,                    nan,                  1.455,               0.001934,               0.001934,               0.001934
                      8,                 1.5814,                 3.7317,                 1.3799,                0.35901,                0.56471,                0.40109,                  0.196,                 1.4336,                 11.832,                 1.4461,              0.0019208,              0.0019208,              0.0019208
                      9,                  1.599,                 2.0738,                 1.4484,                0.35901,                0.56471,                0.40109,                  0.196,                 1.4336,                 11.832,                 1.4461,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.5149,                 1.9844,                 1.4103,                0.45658,                0.64252,                0.44608,                0.25463,                 1.2828,                 4.9538,                 1.3797,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.4514,                 1.9466,                 1.3838,                0.45658,                0.64252,                0.44608,                0.25463,                 1.2828,                 4.9538,                 1.3797,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.4248,                 1.7923,                 1.3533,                0.52962,                0.66471,                 0.5889,                0.35695,                 1.2034,                 3.8208,                 1.3001,               0.001868,               0.001868,               0.001868
                     13,                 1.3472,                 1.6799,                 1.3155,                0.52962,                0.66471,                 0.5889,                0.35695,                 1.2034,                 3.8208,                 1.3001,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.3348,                 1.5529,                 1.3307,                 0.6848,                0.65177,                0.71999,                0.41992,                 1.2822,                 1.9013,                 1.2995,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.4331,                 1.5955,                 1.3455,                 0.6848,                0.65177,                0.71999,                0.41992,                 1.2822,                 1.9013,                 1.2995,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.4265,                 1.4863,                 1.3123,                0.74057,                0.63808,                0.73723,                0.41288,                 1.2988,                 1.7938,                 1.3153,              0.0018152,              0.0018152,              0.0018152
                     17,                 1.3608,                 1.4746,                 1.3544,                0.76372,                0.66546,                0.75902,                0.46691,                  1.176,                 1.4384,                 1.2467,               0.001802,               0.001802,               0.001802
                     18,                    1.3,                 1.3719,                 1.2872,                0.76372,                0.66546,                0.75902,                0.46691,                  1.176,                 1.4384,                 1.2467,              0.0017888,              0.0017888,              0.0017888
                     19,                 1.3287,                 1.3943,                 1.3125,                0.71973,                0.67647,                  0.752,                0.46443,                 1.1406,                 1.2539,                 1.2537,              0.0017756,              0.0017756,              0.0017756
                     20,                 1.2485,                 1.4227,                 1.3221,                0.71973,                0.67647,                  0.752,                0.46443,                 1.1406,                 1.2539,                 1.2537,              0.0017624,              0.0017624,              0.0017624
                     21,                 1.2517,                 1.3969,                 1.2716,                0.71833,                0.67506,                0.75824,                0.47854,                 1.1505,                 1.2067,                 1.2515,              0.0017492,              0.0017492,              0.0017492
                     22,                 1.2606,                 1.4163,                 1.2839,                0.71833,                0.67506,                0.75824,                0.47854,                 1.1505,                 1.2067,                 1.2515,               0.001736,               0.001736,               0.001736
                     23,                 1.2509,                 1.3222,                 1.2883,                0.74644,                0.65804,                0.77764,                0.49955,                 1.1595,                 1.1937,                 1.2538,              0.0017228,              0.0017228,              0.0017228
                     24,                 1.2626,                 1.3188,                 1.2494,                 0.6613,                0.76471,                0.79881,                0.52483,                 1.1128,                 1.1755,                 1.2235,              0.0017096,              0.0017096,              0.0017096
                     25,                 1.2476,                 1.3223,                 1.2764,                 0.6613,                0.76471,                0.79881,                0.52483,                 1.1128,                 1.1755,                 1.2235,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.1924,                 1.3005,                 1.2567,                 0.7349,                0.68235,                 0.7941,                0.53236,                 1.0886,                 1.1745,                 1.2105,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.2106,                 1.3331,                 1.2616,                 0.7349,                0.68235,                 0.7941,                0.53236,                 1.0886,                 1.1745,                 1.2105,                0.00167,                0.00167,                0.00167
                     28,                 1.2378,                 1.2462,                 1.2046,                0.73544,                0.63529,                0.78771,                0.52667,                 1.0986,                 1.1627,                 1.2025,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.1857,                 1.2057,                 1.2238,                0.73544,                0.63529,                0.78771,                0.52667,                 1.0986,                 1.1627,                 1.2025,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.2426,                   1.23,                 1.2281,                0.73364,                0.65294,                0.79425,                 0.5407,                 1.1115,                 1.1324,                 1.2044,              0.0016304,              0.0016304,              0.0016304
                     31,                 1.2168,                 1.2471,                 1.2484,                0.73364,                0.65294,                0.79425,                 0.5407,                 1.1115,                 1.1324,                 1.2044,              0.0016172,              0.0016172,              0.0016172
                     32,                  1.244,                 1.2326,                 1.2423,                0.77859,                0.68235,                0.82895,                0.55411,                 1.1389,                 1.1257,                 1.2281,               0.001604,               0.001604,               0.001604
                     33,                 1.2181,                 1.2307,                 1.2319,                0.68846,                0.80588,                0.83725,                0.55715,                 1.0917,                 1.0972,                 1.2122,              0.0015908,              0.0015908,              0.0015908
                     34,                 1.1775,                 1.1979,                 1.2146,                0.68846,                0.80588,                0.83725,                0.55715,                 1.0917,                 1.0972,                 1.2122,              0.0015776,              0.0015776,              0.0015776
                     35,                 1.2609,                 1.2062,                 1.2315,                0.71384,                0.75882,                0.82177,                0.56875,                  1.045,                 1.0939,                 1.1902,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.1945,                  1.178,                 1.2402,                0.71384,                0.75882,                0.82177,                0.56875,                  1.045,                 1.0939,                 1.1902,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.1325,                 1.1255,                 1.1911,                  0.713,                0.74118,                0.81481,                0.56651,                 1.0262,                 1.0798,                 1.1872,               0.001538,               0.001538,               0.001538
                     38,                 1.1424,                 1.1643,                 1.1977,                  0.713,                0.74118,                0.81481,                0.56651,                 1.0262,                 1.0798,                 1.1872,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.1559,                 1.1688,                 1.2337,                0.66346,                0.82353,                0.81777,                0.56163,                 1.0294,                 1.0473,                 1.1834,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.1513,                  1.112,                 1.2199,                 0.7051,                0.78764,                0.81309,                0.54904,                  1.026,                 1.0222,                 1.1828,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.1785,                 1.1187,                 1.1901,                 0.7051,                0.78764,                0.81309,                0.54904,                  1.026,                 1.0222,                 1.1828,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.1455,                 1.1361,                 1.2123,                0.69198,                0.80588,                0.81415,                0.54036,                 1.0419,                 1.0414,                 1.1886,               0.001472,               0.001472,               0.001472
                     43,                 1.1467,                 1.1529,                 1.1859,                0.69198,                0.80588,                0.81415,                0.54036,                 1.0419,                 1.0414,                 1.1886,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.1186,                 1.1168,                 1.1986,                0.74438,                0.74706,                0.82479,                 0.5675,                 1.0549,                 1.0032,                 1.1947,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.1433,                 1.1202,                 1.1954,                0.74438,                0.74706,                0.82479,                 0.5675,                 1.0549,                 1.0032,                 1.1947,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.1343,                  1.087,                 1.1848,                0.71565,                0.81425,                0.84615,                0.59099,                 1.0321,                0.98783,                 1.1834,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.1041,                 1.0913,                 1.1595,                0.71565,                0.81425,                0.84615,                0.59099,                 1.0321,                0.98783,                 1.1834,               0.001406,               0.001406,               0.001406
                     48,                 1.0962,                 1.1188,                 1.1919,                0.72359,                0.82941,                0.84747,                0.59899,                 1.0185,                0.99098,                 1.1819,              0.0013928,              0.0013928,              0.0013928
